Currently,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,,,C,M,T,W,Xm,Xw,Y,Tot,,days,per day,
Available,,15,8,9,1,0,1,3,37,,Loaned,,38,72,15,35,8,3,45,216,,MIA,,,,0,2,0,2,0,0,2,6,,48.42857143,L,4.687315634
On Loan,,12,19,2,10,5,0,13,61,,Returned,,26,53,13,25,3,3,32,155,,Scrapped,,,,2,3,0,1,0,0,0,6,,,Rt,3.427728614
On Hold,,0,0,0,1,14,5,0,20,,Renewed,,3,16,4,3,0,1,10,37,,Given away,,,,0,0,0,0,0,0,0,0,,113,Rn,0.784660767
In Test,,0,0,0,0,0,0,0,0,,Test ridden,,41,51,13,31,9,7,23,175,,Total Removed,,,,2,5,0,3,0,0,2,12,,16.14285714,T,3.613569322
In Repair,,6,3,2,4,0,0,2,17,,Repaired,,29,49,9,24,4,1,20,136,,,,,,,,,,,,,,,64.57142857,Rp,2.808259587
Total Fleet,135,33,30,13,16,19,6,18,135,,Donations,,12,15,3,5,9,0,7,51,,,,,,,,,,,,,,,48.42857143,D,1.053097345
"Enter info under red headings for one bike at a time (Loan date, Tag #, Date Returned or Date Renewed )   Copy ""Return"" date and tag# to Test Ride ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,Loans ,,,,,,,Due ,,Date,Date,,,Ctrl + down arrow to skip to the last row,,,,,,,,,,,,,,,,,,,,,,
dd-mm,Tag #,C,M,T,W,Xm,Xw,Y,,,Rtrnd,Rnwd,,,,,,,,,,,,,,,,,,,,,,,,,
9-May,Y05,0,0,0,0,0,0,1,6-Jun,,9-May,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-May,M04,0,1,0,0,0,0,0,13-Jun,,16-May,16-May,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,C01,1,0,0,0,0,0,0,13-Jun,,31-May,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,C18,1,0,0,0,0,0,0,13-Jun,,31-May,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,M10,0,1,0,0,0,0,0,22-Jun,,31-May,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,W01,0,0,0,1,0,0,0,13-Jun,,31-May,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-May,C06,1,0,0,0,0,0,0,6-Jun,,6-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,M04,0,1,0,0,0,0,0,7-Jul,,6-Jun,9-June,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-May,M15,0,1,0,0,0,0,0,8-Jun,,6-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
31-May,M28,0,1,0,0,0,0,0,28-Jun,,6-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,Y04,0,0,0,0,0,0,1,6-Jul,,6-Jun,8-Jun,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,Y05,0,0,0,0,0,0,1,4-Jul,,6-Jun,6-Jun,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-May,Y07,0,0,0,0,0,0,1,4-Jul,,6-Jun,6 Jun,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-May,C14,1,0,0,0,0,0,0,6-Jun,,8-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,M07,0,1,0,0,0,0,0,4-Jul,,8-June,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-May,M13,0,1,0,0,0,0,0,8-Jun,,8-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,T01,0,0,1,0,0,0,0,13-Jun,,8-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-May,T07,0,0,1,0,0,0,0,8-Jun,,8-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-May,W06,0,0,0,1,0,0,0,6-Jun,,8-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-Jun,Y05,0,0,0,0,0,0,1,10-Aug,,8-Jun,13-July,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-May,M07,0,1,0,0,0,0,0,6-Jun,,9-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-May,Y13,0,0,0,0,0,0,1,6-Jun,,9-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
14-Jun,M05,0,1,0,0,0,0,0,12-Jul,,12-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
14-Jun,M14,0,1,0,0,0,0,0,12-Jul,,12-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-May,C10,1,0,0,0,0,0,0,8-Jun,,13-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-May,M26,0,1,0,0,0,0,0,20-Jul,,13-Jun,22-June,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-May,T02,0,0,1,0,0,0,0,11-Jul,,13-Jun,13-June,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,C05,1,0,0,0,0,0,0,13-Jun,,15-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,T04,0,0,1,0,0,0,0,13-Jun,,15-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,T06,0,0,1,0,0,0,0,13-Jul,,15-June,15-June,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,W07,0,0,0,1,0,0,0,13-Jul,,15-Jun,15-June,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,W10,0,0,0,1,0,0,0,13-Jul,,15-Jun,15-Jun,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,M06,0,1,0,0,0,0,0,13-Jun,,June 16,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-Jun,M04,0,1,0,0,0,0,0,7-Jul,,18-June,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-May,M17,0,1,0,0,0,0,0,19-Jun,,20-Jun,20-Jun,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-June,T06,0,0,1,0,0,0,0,13-Jul,,20-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-Jun,XM17,0,0,0,0,1,0,0,13-Jul,,21-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,C03,1,0,0,0,0,0,0,22-Jun,,22-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
23-May,C11,1,0,0,0,0,0,0,20-Jul,,22-Jun,22-June,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-May,M12,0,1,0,0,0,0,0,20-Jul,,22-June,22-June,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,M12,0,1,0,0,0,0,0,20-Jul,,22-Jun,22-Jun,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,M19,0,1,0,0,0,0,0,6-Jul,,22-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
13-Jun,M26,0,1,0,0,0,0,0,20-Jul,,22-Jun,22-Jun,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,Y01,0,0,0,0,0,0,1,6-Jul,,22-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,Y09,0,0,0,0,0,0,1,6-Jul,,22-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,Y18,0,0,0,0,0,0,1,22-Jun,,22-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,M13,0,1,0,0,0,0,0,6-Jul,,27-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,M27,0,1,0,0,0,0,0,6-Jul,,27-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-June,T05,0,0,1,0,0,0,0,25-Jul,,27-Jun,27-June,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,Y03,0,0,0,0,0,0,1,6-Jul,,27-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,Y14,0,0,0,0,0,0,1,22-Jun,,3-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,Y14,0,0,0,0,0,0,1,25-Jul,,3-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,Y06,0,0,0,0,0,0,1,1-Aug,,4-Jul,4-July,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,Y07,0,0,0,0,0,0,1,4-Jul,,4-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,M18,0,1,0,0,0,0,0,20-Jul,,5-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,C04,1,0,0,0,0,0,0,3-Aug,,6-Jul,6-July,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,W02,0,0,0,1,0,0,0,6-Jul,,6-July,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,M04,0,1,0,0,0,0,0,17-Aug,,9-Jul,20-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-Jul,W14,0,0,0,1,0,0,0,3-Aug,,9-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
03-July,Y01,0,0,0,0,0,0,1,31-Jul,,9-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,Y13,0,0,0,0,0,0,1,25-Jul,,10-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-Jun,W05,0,0,0,1,0,0,0,13-Jul,,11-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,C01,1,0,0,0,0,0,0,6-Jul,,13-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
14-Jun,M09,0,1,0,0,0,0,0,12-Jul,,13-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,M11,0,1,0,0,0,0,0,13-Jun,,13-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,W12,0,0,0,1,0,0,0,4-Jul,,13-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,Y06,0,0,0,0,0,0,1,1-Aug,,15-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-June,W10,0,0,0,1,0,0,0,15-Aug,,18-Jul,18-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,W17,0,0,0,1,0,0,0,8-Aug,,18-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,M12,0,1,0,0,0,0,0,17-Aug,,20-Jul,20-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,M26,0,1,0,0,0,0,0,17-Aug,,20-Jul,20-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,Y11,0,0,0,0,0,0,1,17-Aug,,20-Jul,20-July,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,Y09,0,0,0,0,0,0,1,19-Aug,,22-Jul,22-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,C13,1,0,0,0,0,0,0,17-Aug,,23-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,C22,1,0,0,0,0,0,0,17-Aug,,23-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,M06,0,1,0,0,0,0,0,17-Aug,,23-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
13-Jun,T02,0,0,1,0,0,0,0,22-Aug,,25-Jul,25-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,Y15,0,0,0,0,0,0,1,22-Aug,,25-Jul,25-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
29-Jun,M03,0,1,0,0,0,0,0,27-Jul,,27-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,Y09,0,0,0,0,0,0,1,20-Jul,,27-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
19-Jul,XM04,0,0,0,0,1,0,0,16-Aug,,30-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,XM08,0,0,0,0,1,0,0,6-Jul,,31-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,M10,0,1,0,0,0,0,0,29-Aug,,1-Aug,1-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
23-Jul,M32,0,1,0,0,0,0,0,20-Aug,,1-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,T05,0,0,1,0,0,0,0,25-Jul,,1-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-Jul,W08,0,0,0,1,0,0,0,6-Aug,,1-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,XW04,0,0,0,0,0,1,0,29-Aug,,1-Aug,1-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
1-Aug,M32,0,1,0,0,0,0,0,29-Aug,,2-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jul,C30,1,0,0,0,0,0,0,24-Aug,,3-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jul,W12,0,0,0,1,0,0,0,24-Aug,,3-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-Jul,W14,0,0,0,1,0,0,0,13-Aug,,3-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-July,M18,0,1,0,0,0,0,0,3-Aug,,5-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-July,W02,0,0,0,1,0,0,0,3-Aug,,5-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-July,C04,1,0,0,0,0,0,0,4-Sep,,7-Aug,7-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jun,M17,0,1,0,0,0,0,0,18-Jul,,7-Aug,7-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,C15,1,0,0,0,0,0,0,15-Aug,,8-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
13-Jun,T09,0,0,1,0,0,0,0,11-Jul,,8-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,C27,1,0,0,0,0,0,0,8-Aug,,9-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
3-Aug,C34,1,0,0,0,0,0,0,31-Aug,,10-Aug,,,Associated contact data and Lock number    ,,,Lock 72    combo 1209,,,,,,,,,,,,,,,,,,,,
8-Jun,M16,0,1,0,0,0,0,0,6-Jul,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,W04,0,0,0,1,0,0,0,13-Jun,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,W05,0,0,0,1,0,0,0,8-Aug,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,W06,0,0,0,1,0,0,0,6-Jul,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-Jun,W07,0,0,0,1,0,0,0,13-Jul,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,W19,0,0,0,1,0,0,0,15-Aug,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,Y15,0,0,0,0,0,0,1,22-Aug,,14-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,Y16,0,0,0,0,0,0,1,8-Aug,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,M07,0,1,0,0,0,0,0,25-Jul,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,M20,0,1,0,0,0,0,0,25-Jul,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-June,T04,0,0,1,0,0,0,0,25-Jul,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
